s,E_T_mean,E_T_std,Lq_mean,Lq_std,pct_sla_mean,pct_sla_std,rho_mean,rho_std,CT_mean,CT_std
1,15.465881344125288,1.1642656433513416,69.32373560499373,7.392469056934208,0.0037325678432984346,0.011803415905925508,0.999,0.0,387.1506481582452,18.23684408432332
2,6.092229198611337,0.15008185848865963,8.519110239124299,0.6986194498648108,0.7086023448936856,0.031135368122970113,0.9308447704395564,0.014175106383366068,175.1741331849738,6.8954178608558365
3,3.463115252743367,0.1932555599615082,2.4522771680599065,0.17589596644832364,0.9877411980172124,0.01700640070016506,0.6259166290201287,0.02472552558014163,170.48817679844174,3.397904063648181
4,3.53190841767249,0.2833148870273945,1.070897821425795,0.140771575660587,0.9970991592740258,0.008035033975340108,0.48338703442836756,0.02429355266494445,215.4744950211954,2.9137942798892214
