s,replica,seed,E_T,Lq,pct_sla,rho,sum_time_in_system,total_customers,CT
1,0,1100,15.574556301465918,68.92481377885726,0.0,0.999,2086.990544396433,134,391.02914899567895
1,1,1101,16.129857745513927,63.47854230900216,0.0,0.999,2145.271080153352,133,396.27439721380165
1,2,1102,15.661919901079978,61.2005217173336,0.0,0.999,2177.006866250117,139,399.13061796251054
1,3,1103,13.866117260294981,78.2747843677204,0.0,0.999,1913.5241819207074,138,375.41717637286365
1,4,1104,13.638818911494404,75.67983026314108,0.0,0.999,1636.6582693793284,120,350.4992442441395
1,5,1105,17.62500455137177,63.424062936600826,0.0,0.999,2308.875596229702,131,410.99880366067316
1,6,1106,16.239441408050173,64.93150564737613,0.0,0.999,2257.282355718974,139,406.35541201470767
1,7,1107,15.69003693400111,74.97405489770303,0.037325678432984344,0.999,2118.15498609015,135,386.3688130615166
1,8,1108,14.758357235607036,80.6120103867065,0.0,0.999,2036.653298513771,138,386.49879686623933
1,9,1109,15.474703192373566,61.73722974549627,0.0,0.999,1841.4896798924544,119,368.9340711903209
2,0,1200,6.2197332833312196,9.702619539298233,0.751695889421239,0.9378393797033686,765.02719384974,123,164.9132695622288
2,1,1201,6.134165447061159,8.502759237435464,0.6744573503798659,0.9101143737734646,779.0390117767672,127,181.62204098393588
2,2,1202,6.040233488543049,8.50669591533034,0.6853364126388225,0.913020613891388,742.9487190907951,123,176.19810219040707
2,3,1203,6.0833370097379635,8.560925216241296,0.6796799676340931,0.9481718682794592,784.7504742561973,129,181.09154915623913
2,4,1204,5.735140678975091,7.268878456980393,0.7453313101849973,0.9373934338757207,797.1845543775377,139,169.08034785697893
2,5,1205,6.035219546180725,8.63876246056479,0.7481416393434354,0.9232021603922137,784.5785410034943,130,167.3837408216274
2,6,1206,6.1534917817751085,9.260847337005568,0.6717865281529913,0.9165119570921267,750.7259973765632,122,179.60803413329242
2,7,1207,6.195716052213091,8.777705590191113,0.7064671620385793,0.9321030607350302,817.834518892128,132,178.71167429257565
2,8,1208,6.0468997178419395,8.322707851893224,0.7156918223190972,0.9447493666523676,731.6748658588747,121,169.11237346347926
2,9,1209,6.278354980454015,7.649200786302576,0.7074353668237349,0.945341490000424,878.9696972635621,140,184.02019938897362
3,0,1300,3.6981863064914258,2.389474095452936,1.0,0.6359444314813468,499.2551513763425,135,174.5329636238708
3,1,1301,3.5718001895447644,2.6229965595719897,0.9755593156638285,0.6430174582838789,471.4776250199089,132,172.03298625179178
3,2,1302,3.4940050367289843,2.515562734305574,1.0,0.6226813650966433,457.714659811497,131,170.79431938303472
3,3,1303,3.459989043793071,2.57572249288858,0.9515124575139722,0.6533505086142646,425.57865238654773,123,167.9020787147893
3,4,1304,3.2519959799828433,2.2869539492826725,0.9795000187366283,0.6406876451464724,416.25548543780394,128,167.06299368940233
3,5,1305,3.02909064651055,2.60017695695499,1.0,0.6312991258715304,393.7817840463715,130,165.04036056417343
3,6,1306,3.5131138522666157,2.599184284189809,0.972920833770153,0.5931406986648045,425.0867761242605,121,167.85780985118345
3,7,1307,3.5889057795254633,2.3639023836794206,0.9998700062974328,0.6460547476462385,473.73556289736115,132,172.2362006607625
3,8,1308,3.4344540130901295,2.0709074605390034,0.998049348190109,0.6175650235418954,470.52019979334773,137,171.9468179814013
3,9,1309,3.5896116794998227,2.497890763734086,1.0,0.5754252858542117,509.7248584889748,142,175.47523726400772
4,0,1400,3.2436944925052877,0.9803159684724758,1.0,0.47807568189109223,437.89875648821385,135,212.21088808393924
4,1,1401,3.7880010774441573,0.799877591273872,1.0,0.4468511352418684,518.9561476098495,137,219.50605328488643
4,2,1402,3.619998921484101,1.1338543190921275,1.0,0.5211394319954025,481.4598565573854,133,216.13138709016468
4,3,1403,3.653040063763635,1.1639179188620619,1.0,0.49531292256519754,493.16040860809073,135,217.18443677472814
4,4,1404,3.1803758327887026,0.9184318490439218,1.0,0.4754813592045565,429.35073742647484,135,211.44156636838272
4,5,1405,3.473187779984968,1.0452925063385554,0.9965515835914214,0.4880118927657599,472.35353807795565,136,215.311818427016
4,6,1406,3.9958960133986676,1.14045351103355,1.0,0.45815261062009577,499.48700167483344,125,217.75383015073498
4,7,1407,3.580196800873957,1.1770490078510152,1.0,0.4677672109569386,490.4869617197321,137,216.94382655477585
4,8,1408,3.102753895850966,1.0689707245766789,0.9744400091488361,0.48207880497983674,425.0772837315824,137,211.0569555358424
4,9,1409,3.681939298630456,1.2808148177136918,1.0,0.5209992940629277,493.3798660164811,134,217.20418794148327
